Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA50,MA200,RSI,Volatility
2023-10-02 00:00:00-04:00,6.25,6.570000171661377,6.070000171661377,6.130000114440918,3041100,0.0,0.0,,,,
2023-10-03 00:00:00-04:00,6.340000152587891,6.46999979019165,5.349999904632568,5.380000114440918,4787800,0.0,0.0,,,,
2023-10-04 00:00:00-04:00,5.380000114440918,5.650000095367432,5.360000133514404,5.474999904632568,2217300,0.0,0.0,,,,
2023-10-05 00:00:00-04:00,5.460000038146973,5.53000020980835,5.085000038146973,5.199999809265137,3611100,0.0,0.0,,,,
2023-10-06 00:00:00-04:00,5.019999980926514,5.230000019073486,4.929999828338623,5.170000076293945,5334100,0.0,0.0,,,,
2023-10-09 00:00:00-04:00,5.519999980926514,6.193999767303467,4.425000190734863,4.809999942779541,14208000,0.0,0.0,,,,
2023-10-10 00:00:00-04:00,4.889999866485596,5.75,4.880000114440918,5.414999961853027,7020900,0.0,0.0,,,,
2023-10-11 00:00:00-04:00,5.449999809265137,5.816999912261963,5.170000076293945,5.260000228881836,4551300,0.0,0.0,,,,
2023-10-12 00:00:00-04:00,5.239999771118164,5.400000095367432,5.010000228881836,5.170000076293945,3910300,0.0,0.0,,,,
2023-10-13 00:00:00-04:00,5.139999866485596,5.300000190734863,5.089000225067139,5.130000114440918,1929500,0.0,0.0,,,,
2023-10-16 00:00:00-04:00,5.199999809265137,5.590000152587891,5.199999809265137,5.489999771118164,4258200,0.0,0.0,,,,
2023-10-17 00:00:00-04:00,5.239999771118164,5.559999942779541,5.201000213623047,5.460000038146973,2201500,0.0,0.0,,,,
2023-10-18 00:00:00-04:00,5.289999961853027,5.434999942779541,4.789999961853027,4.855000019073486,5572700,0.0,0.0,,,,
2023-10-19 00:00:00-04:00,4.909999847412109,5.110000133514404,4.755000114440918,5.010000228881836,5716300,0.0,0.0,,,34.225350334350225,
2023-10-20 00:00:00-04:00,5.0,5.034999847412109,4.65500020980835,4.690000057220459,4401700,0.0,0.0,,,31.3953452554141,
2023-10-23 00:00:00-04:00,4.650000095367432,5.050000190734863,4.585000038146973,4.840000152587891,3489800,0.0,0.0,,,41.743118597147784,
2023-10-24 00:00:00-04:00,5.070000171661377,5.190000057220459,4.889999866485596,5.070000171661377,3233000,0.0,0.0,,,44.05286689086184,
2023-10-25 00:00:00-04:00,5.079999923706055,5.118000030517578,4.760000228881836,4.78000020980835,3050200,0.0,0.0,,,43.859654259557544,
2023-10-26 00:00:00-04:00,4.78000020980835,4.960000038146973,4.585000038146973,4.75,2231700,0.0,0.0,,,43.859648144378475,
2023-10-27 00:00:00-04:00,4.820000171661377,4.96999979019165,4.635000228881836,4.809999942779541,1776600,0.0,0.0,,,50.0,
2023-10-30 00:00:00-04:00,4.820000171661377,4.900000095367432,4.480000019073486,4.579999923706055,2359400,0.0,0.0,,,34.79052690421322,
2023-10-31 00:00:00-04:00,4.610000133514404,4.940000057220459,4.5,4.880000114440918,2264800,0.0,0.0,,,43.425604337402675,0.2780396292331571
2023-11-01 00:00:00-04:00,4.800000190734863,4.940000057220459,4.699999809265137,4.929999828338623,1769400,0.0,0.0,,,45.78946919322329,0.2516642050002547
2023-11-02 00:00:00-04:00,5.130000114440918,5.289999961853027,4.980000019073486,5.28000020980835,2423700,0.0,0.0,,,52.373418986959564,0.2616524828338007
2023-11-03 00:00:00-04:00,5.349999904632568,5.570000171661377,5.28000020980835,5.460000038146973,1776500,0.0,0.0,,,49.49664885941531,0.2582821353506836
2023-11-06 00:00:00-05:00,5.440000057220459,5.460000038146973,5.15500020980835,5.360000133514404,2419800,0.0,0.0,,,48.36065765991825,0.25907547233895634
2023-11-07 00:00:00-05:00,5.349999904632568,5.550000190734863,5.131999969482422,5.179999828338623,2174200,0.0,0.0,,,56.190470308405445,0.2508047454006911
